dataset,context,static,embedding,lang,metric,value
conll2003,"No contextualized
embeddings",Char,char,n.a.,Precision,75.19
conll2003,"No contextualized
embeddings",Char,char,n.a.,Recall,75.22999999999999
conll2003,"No contextualized
embeddings",Char,char,n.a.,F1,75.17
conll2003,"No contextualized
embeddings",Char,char,n.a.,Precision,74.13
conll2003,"No contextualized
embeddings",Char,char,n.a.,Recall,73.92
conll2003,"No contextualized
embeddings",Char,char,n.a.,F1,73.99
conll2003,"No contextualized
embeddings",Char,char,n.a.,Precision,75.16000000000001
conll2003,"No contextualized
embeddings",Char,char,n.a.,Recall,74.72
conll2003,"No contextualized
embeddings",Char,char,n.a.,F1,74.91
conll2003,"No contextualized
embeddings",OHE,ohe,n.a.,Precision,81.24
conll2003,"No contextualized
embeddings",OHE,ohe,n.a.,Recall,71.87
conll2003,"No contextualized
embeddings",OHE,ohe,n.a.,F1,76.24
conll2003,"No contextualized
embeddings",OHE,ohe,n.a.,Precision,80.73
conll2003,"No contextualized
embeddings",OHE,ohe,n.a.,Recall,70.78
conll2003,"No contextualized
embeddings",OHE,ohe,n.a.,F1,75.37
conll2003,"No contextualized
embeddings",OHE,ohe,n.a.,Precision,81.81
conll2003,"No contextualized
embeddings",OHE,ohe,n.a.,Recall,71.27
conll2003,"No contextualized
embeddings",OHE,ohe,n.a.,F1,76.01
conll2003,"No contextualized
embeddings",BPEmb,bpe,Monolingual,Precision,86.97
conll2003,"No contextualized
embeddings",BPEmb,bpe,Monolingual,Recall,84.89
conll2003,"No contextualized
embeddings",BPEmb,bpe,Monolingual,F1,85.84
conll2003,"No contextualized
embeddings",BPEmb,bpe,Monolingual,Precision,86.74
conll2003,"No contextualized
embeddings",BPEmb,bpe,Monolingual,Recall,84.85000000000001
conll2003,"No contextualized
embeddings",BPEmb,bpe,Monolingual,F1,85.7
conll2003,"No contextualized
embeddings",BPEmb,bpe,Monolingual,Precision,86.50999999999999
conll2003,"No contextualized
embeddings",BPEmb,bpe,Monolingual,Recall,84.61
conll2003,"No contextualized
embeddings",BPEmb,bpe,Monolingual,F1,85.47
conll2003,"No contextualized
embeddings",fastT,ft,Monolingual,Precision,90.63
conll2003,"No contextualized
embeddings",fastT,ft,Monolingual,Recall,90
conll2003,"No contextualized
embeddings",fastT,ft,Monolingual,F1,90.3
conll2003,"No contextualized
embeddings",fastT,ft,Monolingual,Precision,90.41
conll2003,"No contextualized
embeddings",fastT,ft,Monolingual,Recall,89.89
conll2003,"No contextualized
embeddings",fastT,ft,Monolingual,F1,90.14999999999999
conll2003,"No contextualized
embeddings",fastT,ft,Monolingual,Precision,90.63
conll2003,"No contextualized
embeddings",fastT,ft,Monolingual,Recall,90.13
conll2003,"No contextualized
embeddings",fastT,ft,Monolingual,F1,90.36999999999999
conll2003,"No contextualized
embeddings",All,ft-bpe-char-ohe,Monolingual,Precision,91.06
conll2003,"No contextualized
embeddings",All,ft-bpe-char-ohe,Monolingual,Recall,91.28
conll2003,"No contextualized
embeddings",All,ft-bpe-char-ohe,Monolingual,F1,91.16
conll2003,"No contextualized
embeddings",All,ft-bpe-char-ohe,Monolingual,Precision,90.85
conll2003,"No contextualized
embeddings",All,ft-bpe-char-ohe,Monolingual,Recall,90.89
conll2003,"No contextualized
embeddings",All,ft-bpe-char-ohe,Monolingual,F1,90.86
conll2003,"No contextualized
embeddings",All,ft-bpe-char-ohe,Monolingual,Precision,91.2
conll2003,"No contextualized
embeddings",All,ft-bpe-char-ohe,Monolingual,Recall,91.43
conll2003,"No contextualized
embeddings",All,ft-bpe-char-ohe,Monolingual,F1,91.3
conll2003,BERT,None,bert,Monolingual,Precision,91.22
