dataset,context,static,embedding,lang,metric,value
wikiner,"No contextualized
embeddings",Char,char,n.a.,Precision,55.58
wikiner,"No contextualized
embeddings",Char,char,n.a.,Recall,54.6
wikiner,"No contextualized
embeddings",Char,char,n.a.,F1,54.190000000000005
wikiner,"No contextualized
embeddings",Char,char,n.a.,Precision,60.96
wikiner,"No contextualized
embeddings",Char,char,n.a.,Recall,60.519999999999996
wikiner,"No contextualized
embeddings",Char,char,n.a.,F1,60.19
wikiner,"No contextualized
embeddings",Char,char,n.a.,Precision,60.06
wikiner,"No contextualized
embeddings",Char,char,n.a.,Recall,59.85
wikiner,"No contextualized
embeddings",Char,char,n.a.,F1,59.36
wikiner,"No contextualized
embeddings",OHE,ohe,n.a.,Precision,71.61999999999999
wikiner,"No contextualized
embeddings",OHE,ohe,n.a.,Recall,63.239999999999995
wikiner,"No contextualized
embeddings",OHE,ohe,n.a.,F1,66.94
wikiner,"No contextualized
embeddings",OHE,ohe,n.a.,Precision,70.49
wikiner,"No contextualized
embeddings",OHE,ohe,n.a.,Recall,65.24
wikiner,"No contextualized
embeddings",OHE,ohe,n.a.,F1,67.38
wikiner,"No contextualized
embeddings",OHE,ohe,n.a.,Precision,70.81
wikiner,"No contextualized
embeddings",OHE,ohe,n.a.,Recall,64.48
wikiner,"No contextualized
embeddings",OHE,ohe,n.a.,F1,67.25999999999999
wikiner,"No contextualized
embeddings",BPEmb,bpe,Monolingual,Precision,76.92
wikiner,"No contextualized
embeddings",BPEmb,bpe,Monolingual,Recall,75.19
wikiner,"No contextualized
embeddings",BPEmb,bpe,Monolingual,F1,75.81
wikiner,"No contextualized
embeddings",BPEmb,bpe,Monolingual,Precision,77.3
wikiner,"No contextualized
embeddings",BPEmb,bpe,Monolingual,Recall,75.55
wikiner,"No contextualized
embeddings",BPEmb,bpe,Monolingual,F1,76.14999999999999
wikiner,"No contextualized
embeddings",BPEmb,bpe,Monolingual,Precision,76.23
wikiner,"No contextualized
embeddings",BPEmb,bpe,Monolingual,Recall,74.37
wikiner,"No contextualized
embeddings",BPEmb,bpe,Monolingual,F1,75
wikiner,"No contextualized
embeddings",fastT,ft,Monolingual,Precision,80.56
wikiner,"No contextualized
embeddings",fastT,ft,Monolingual,Recall,75.63
wikiner,"No contextualized
embeddings",fastT,ft,Monolingual,F1,77.83
wikiner,"No contextualized
embeddings",fastT,ft,Monolingual,Precision,79.32000000000001
wikiner,"No contextualized
embeddings",fastT,ft,Monolingual,Recall,74.68
wikiner,"No contextualized
embeddings",fastT,ft,Monolingual,F1,76.61
wikiner,"No contextualized
embeddings",fastT,ft,Monolingual,Precision,80.72
wikiner,"No contextualized
embeddings",fastT,ft,Monolingual,Recall,76.25999999999999
wikiner,"No contextualized
embeddings",fastT,ft,Monolingual,F1,78.22
wikiner,"No contextualized
embeddings",All,ft-bpe-char-ohe,Monolingual,Precision,84.11999999999999
wikiner,"No contextualized
embeddings",All,ft-bpe-char-ohe,Monolingual,Recall,84.32
wikiner,"No contextualized
embeddings",All,ft-bpe-char-ohe,Monolingual,F1,84.17
wikiner,"No contextualized
embeddings",All,ft-bpe-char-ohe,Monolingual,Precision,84.00999999999999
wikiner,"No contextualized
embeddings",All,ft-bpe-char-ohe,Monolingual,Recall,83.91
wikiner,"No contextualized
embeddings",All,ft-bpe-char-ohe,Monolingual,F1,83.91999999999999
wikiner,"No contextualized
embeddings",All,ft-bpe-char-ohe,Monolingual,Precision,84.19
wikiner,"No contextualized
embeddings",All,ft-bpe-char-ohe,Monolingual,Recall,84.34
wikiner,"No contextualized
embeddings",All,ft-bpe-char-ohe,Monolingual,F1,84.24000000000001
wikiner,BERT,None,bert,Monolingual,Precision,84.91
wikiner,BERT,None,bert,Monolingual,Recall,84.95
wikiner,BERT,None,bert,Monolingual,F1,84.87
wikiner,BERT,None,bert,Monolingual,Precision,84.54
wikiner,BERT,None,bert,Monolingual,Recall,84.8
wikiner,BERT,None,bert,Monolingual,F1,84.61999999999999
wikiner,BERT,None,bert,Monolingual,Precision,84.93
wikiner,BERT,None,bert,Monolingual,Recall,84.92
